verbatimIdentification,cleanedTaxonomy,ambiguous,selected_match,name_change,scientificName,taxonRank,scientificNameID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Carangiformes;Echeneidae;Echeneis;Echeneis naucrates,Eukaryota;Chordata;Actinopteri;Carangiformes;Echeneidae;Echeneis;Echeneis naucrates,False,False,False,Echeneis naucrates,Species,urn:lsid:marinespecies.org:taxname:126848,Animalia,Chordata,Teleostei,Carangiformes,Echeneidae,Echeneis,Success_Batch_Echeneis naucrates,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,False,True,False,Alosa,Genus,urn:lsid:marinespecies.org:taxname:125715,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Success_Batch_Alosa,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,False,True,False,Alosa,Genus,urn:lsid:marinespecies.org:taxname:125715,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Success_Batch_Alosa,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,False,True,False,Alosa alabamae,Species,urn:lsid:marinespecies.org:taxname:272248,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Success_Batch_Alosa alabamae,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula,False,True,False,Harengula,Genus,urn:lsid:marinespecies.org:taxname:204605,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Harengula,Success_Batch_Harengula,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,False,True,False,Harengula jaguana,Species,urn:lsid:marinespecies.org:taxname:277551,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Harengula,Success_Batch_Harengula jaguana,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,False,False,False,Opisthonema oglinum,Species,urn:lsid:marinespecies.org:taxname:158695,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Opisthonema,Success_Batch_Opisthonema oglinum,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,False,True,True,Etrumeus sadina,Species,urn:lsid:marinespecies.org:taxname:584793,Animalia,Chordata,Teleostei,Clupeiformes,Dussumieriidae,Etrumeus,Success_Batch_Etrumeus teres,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,False,True,True,Etrumeus sadina,Species,urn:lsid:marinespecies.org:taxname:584793,Animalia,Chordata,Teleostei,Clupeiformes,Dussumieriidae,Etrumeus,Success_Batch_Etrumeus teres,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis,False,True,False,Engraulis,Genus,urn:lsid:marinespecies.org:taxname:125724,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,Success_Batch_Engraulis,WoRMS
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,False,True,False,Engraulis eurystole,Species,urn:lsid:marinespecies.org:taxname:158702,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,Success_Batch_Engraulis eurystole,WoRMS
Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,False,False,False,Bregmaceros cantori,Species,urn:lsid:marinespecies.org:taxname:158924,Animalia,Chordata,Teleostei,Gadiformes,Bregmacerotidae,Bregmaceros,Success_Batch_Bregmaceros cantori,WoRMS
Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,False,True,False,Coelorinchus caribbaeus,Species,urn:lsid:marinespecies.org:taxname:280261,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus,Success_Batch_Coelorinchus caribbaeus,WoRMS
Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,False,True,False,Coelorinchus caribbaeus,Species,urn:lsid:marinespecies.org:taxname:280261,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus,Success_Batch_Coelorinchus caribbaeus,WoRMS
Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius,Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius,False,True,False,Merluccius,Genus,urn:lsid:marinespecies.org:taxname:125762,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Success_Batch_Merluccius,WoRMS
