verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,False,"Alosa alabamae Jordan & Evermann, 1896",99,species,gbif:2412616,Animalia,Chordata,,Clupeiformes,Clupeidae,Alosa,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula,True,"Harengula Valenciennes, 1847",97,genus,gbif:2412944,Animalia,Chordata,,Clupeiformes,Clupeidae,Harengula,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,True,"Harengula jaguana Poey, 1865",100,species,gbif:2412960,Animalia,Chordata,,Clupeiformes,Clupeidae,Harengula,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula jaguana,False,"Harengula jaguana Poey, 1865",99,species,gbif:2412960,Animalia,Chordata,,Clupeiformes,Clupeidae,Harengula,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,True,"Opisthonema oglinum (Lesueur, 1818)",100,species,gbif:5214551,Animalia,Chordata,,Clupeiformes,Clupeidae,Opisthonema,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Opisthonema;Opisthonema oglinum,False,"Opisthonema oglinum (Lesueur, 1818)",99,species,gbif:5214551,Animalia,Chordata,,Clupeiformes,Clupeidae,Opisthonema,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,True,"Etrumeus teres (DeKay, 1842)",100,species,gbif:2413183,Animalia,Chordata,,Clupeiformes,Dussumieriidae,Etrumeus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,False,"Etrumeus teres (DeKay, 1842)",99,species,gbif:2413183,Animalia,Chordata,,Clupeiformes,Dussumieriidae,Etrumeus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis,True,"Engraulis Cuvier, 1816",97,genus,gbif:2352080,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,True,"Engraulis eurystole (Swain & Meek, 1884)",100,species,gbif:2414003,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,GBIF_EXACT,GBIF
